Company Name,Emails Sent,Opens,Clicks
Apex Logistics LLC,12,4,1
Bridgewater Manufacturing Co,10,3,0
Summit Staffing Solutions,14,6,2
Ironclad Construction Group,11,3,0
Pacific Wholesale Traders,9,3,1
Titan Oilfield Services,13,4,1
Velocity Freight Systems,15,6,2
Precision Metal Works,11,4,1
Elite Workforce Partners,16,7,2
Cornerstone Builders Inc,10,3,0
Midwest Distribution Hub,12,4,1
Lone Star Drilling Co,9,2,0
Express Route Carriers,11,4,1
Sterling Fabrication Inc,10,3,0
ProStaff Employment Agency,14,5,2
Granite Peak Constructors,8,2,0
National Supply Chain Co,12,4,1
Roughneck Energy Services,9,2,0
Continental Trucking Corp,14,5,2
Advanced Assembly Systems,11,3,0
Talent Bridge Staffing,15,6,2
Skyline Development Group,7,2,1
Metro Wholesale Solutions,11,4,1
Pioneer Petroleum Services,9,2,0
Highway Haulers Inc,12,4,1
Industrial Forge Corp,10,3,0
FlexForce Staffing Inc,16,7,2
Delta Prime Contractors,9,2,0
Heartland Distributors,13,5,1
Basin Well Services,8,3,1
Atlas Freight Lines,11,4,1
Quantum Manufacturing LLC,6,2,0
Reliable Temp Services,15,6,2
Triumph Construction Co,9,2,0
Central States Supply,12,4,1
Permian Basin Oilfield,8,3,1
Roadmaster Logistics,13,5,1
Cascade Metal Industries,10,3,0
Workforce Dynamics Inc,15,6,2
Liberty Builders LLC,11,4,1
Valley Trade Partners,14,5,1
Eagle Rock Drilling,9,2,0
Swift Cargo Solutions,12,5,2
Premier Plastics Corp,10,3,0
Agile Staffing Group,14,5,2
Horizon Construction Services,9,2,0
Keystone Wholesale Inc,12,4,1
Maverick Well Solutions,16,7,2
Transcon Shipping LLC,11,4,1
Alloy Precision Manufacturing,10,3,0
Select Personnel Services,14,5,1
Patriot Contractors Inc,8,3,1
Regional Supply Network,13,5,1
Frontier Oil & Gas Services,8,2,0
Nationwide Freight Co,12,5,2
Benchmark Tool & Die,16,7,2
NextGen Workforce Solutions,14,5,2
Solid Rock Construction,10,3,0
Commerce Distribution Group,11,4,1
Panhandle Energy Services,7,2,0
Prime Movers Transport,13,5,1
Westside Machine Shop,15,6,2
Career Connect Staffing,17,8,2
Urban Development Partners,6,2,1
Harbor Wholesale Trading,12,4,1
Deepwell Oilfield LLC,9,2,0
Interstate Carriers Corp,11,4,1
Global Parts Manufacturing,6,2,0
Workforce One Staffing,15,6,2
Blueridge Builders Inc,9,2,0
Direct Line Distributors,14,5,1
Sunbelt Drilling Services,8,3,1
Freight Force America,12,4,1
Custom Machining Solutions,11,4,1
TempWorks Staffing Agency,14,5,2
Cascade Construction Group,9,2,0
Advantage Supply Co,13,5,1
Blackgold Well Services,8,2,0
CrossCountry Logistics,13,5,1
Pinnacle Metal Products,11,3,0
Staff Solutions Plus,16,7,2
Foundation Contractors LLC,11,4,1
Consolidated Wholesale Inc,6,2,1
Horizon Oilfield Corp,9,2,0
Legacy Transport Services,12,5,2
Tech Components Manufacturing,11,4,1
Workforce Express Inc,15,6,2
Summit View Constructors,9,2,0
Allied Distribution Services,13,5,1
Redrock Energy Services,9,2,0
Reliable Road Freight,14,5,2
Artisan Manufacturing Co,11,4,1
PeopleFirst Staffing,14,5,2
Capital City Contractors,9,2,0
National Wholesale Group,12,4,1
Thunder Basin Oil Services,7,2,0
Truckload Express Inc,12,4,1
Midwest Precision Industries,10,3,0
Unified Staffing Solutions,13,5,1
Premier Commercial Builders,5,2,1
